shortname,metric,movable,set_on,container,liquid
ad,0,0,0,0,0
air conditioner,1,0,0,0,0
airplane,1,0,0,1,0
animal,1,0,0,0,0
antenna,1,0,0,0,0
apparel,0,0,0,0,0
arcade machine,1,0,0,0,0
arcade,0,0,0,0,0
arch,0,0,0,0,0
armchair,1,1,1,0,0
ashcan,1,1,0,1,0
ashtray,1,1,0,0,0
awning,0,0,0,0,0
baby buggy,1,1,0,1,0
backpack,1,1,0,1,0
bag,1,1,0,1,0
traveling bag,1,1,0,1,0
ball,1,1,0,0,0
balloon,1,1,0,0,0
bamboo,0,0,1,0,0
banner,0,0,0,0,0
bannister,0,0,0,0,0
bar,1,0,1,0,0
barrel,1,1,0,0,0
base,1,0,1,0,0
baseboard,0,0,0,0,0
basket,1,1,0,1,0
handbasket,1,1,0,1,0
bathtub,0,0,0,0,1
beacon,1,0,0,0,0
bicycle,1,1,0,0,0
billboard,1,0,0,0,0
binder,1,1,0,0,0
bird,1,0,0,0,0
blackboard,1,0,0,0,0
blanket,1,1,0,0,0
blind,1,0,0,0,0
block,1,1,1,0,0
board,1,0,0,0,0
boat,1,0,0,0,0
book,1,1,0,0,0
bookcase,1,1,1,1,0
booklet,1,1,0,0,0
boot,1,1,0,0,0
booth,1,0,0,0,0
bouquet,1,1,0,0,0
bread,1,1,0,0,0
bridge,1,0,0,0,0
briefcase,1,1,0,0,0
brush,1,1,0,0,0
bucket,1,1,0,0,1
buffet,1,0,1,0,0
building,0,0,0,0,0
bulletin board,1,0,0,0,0
bus stop,0,0,0,0,0
bus,1,0,0,1,0
cactus,1,0,0,0,0
camera,1,1,0,0,0
can,1,1,0,0,1
candelabrum,1,0,0,0,0
candle,1,1,0,0,0
candlestick,1,1,0,0,0
canister,1,1,0,1,0
car,1,0,0,1,0
case,1,0,0,1,0
cash register,1,1,0,0,0
central reservation,1,0,0,0,0
chandelier,1,0,0,0,0
chest,1,0,1,1,0
chest of drawers,1,0,1,1,0
cliff,0,0,0,0,0
coffee cup,1,1,0,0,1
coffee maker,1,1,0,0,0
coffee table,1,1,1,0,0
column,1,0,0,0,0
computer,1,1,0,0,0
console table,1,1,1,0,0
container,1,1,0,1,0
conveyer belt,1,0,1,0,0
counter,1,0,1,0,0
court,0,0,0,0,0
cow,1,0,0,0,0
cradle,1,1,0,1,0
crane,1,0,0,0,0
cross,1,0,0,0,0
cue,1,1,0,0,0
cup,1,1,0,0,1
curb,1,0,1,0,0
curtain,1,0,0,0,0
deck chair,1,1,1,0,0
decoration,1,0,0,0,0
desk,1,1,1,0,0
dirt track,0,0,0,0,0
dish,1,1,1,0,0
dishrag,1,1,0,0,0
dishwasher,1,0,0,1,0
document,1,1,0,0,0
doorframe,1,0,0,0,0
dummy,1,1,0,0,0
earth,0,0,0,0,0
easel,1,1,0,0,0
eiderdown,0,0,0,0,0
elevator,1,0,0,1,0
embankment,1,0,0,0,0
equipment,1,1,0,0,0
escalator,1,0,0,0,0
exhibitor,0,0,0,0,0
fabric,0,0,0,0,0
fan,1,1,0,0,0
faucet,1,0,0,0,0
fence,1,0,0,0,0
field,0,0,0,0,0
figurine,1,1,0,0,0
file,1,0,0,0,0
fire extinguisher,1,1,0,0,0
fireplace,1,0,0,0,0
fireplug,1,0,0,0,0
fish,1,0,0,0,0
flag,1,1,0,0,0
floor,1,0,1,0,0
fluorescent,1,0,0,0,0
food,1,1,0,0,0
footbridge,0,0,0,0,0
forecourt,0,0,0,0,0
fork,1,1,0,0,0
fountain,1,0,0,0,0
glass,1,1,0,0,1
grand piano,1,1,0,0,0
grandstand,1,0,0,0,0
grass,1,0,1,0,0
gravestone,1,0,0,0,0
grill,0,0,0,0,0
guitar,1,1,0,0,0
gym shoe,1,1,0,0,0
handle,1,1,0,0,0
hanger,1,1,0,0,0
hat,1,1,0,0,0
hay,1,0,0,0,0
heater,1,0,0,0,0
hedge,1,0,0,0,0
hen,1,0,0,0,0
hill,0,0,0,0,0
hood,1,0,1,0,0
hot tub,1,0,0,0,1
house,1,0,0,0,0
hovel,1,0,0,0,0
ice,1,0,0,0,0
jacket,1,0,0,0,0
jar,1,1,0,1,0
kettle,1,1,0,0,1
kitchen island,1,0,1,0,0
knife,1,1,0,0,0
label,1,0,0,0,0
lake,0,0,0,0,0
land,1,0,1,0,0
laptop,1,1,0,0,0
leaf,1,0,0,0,0
light bulb,1,1,0,0,0
light,1,1,0,0,0
loudspeaker,1,1,0,0,0
lumber,0,0,0,0,0
machine,1,0,0,0,0
magazine,1,1,0,0,0
manhole,1,1,0,0,0
merchandise,1,1,0,0,0
microphone,1,1,0,0,0
microwave,1,0,0,0,0
mineral,1,1,0,0,0
minibike,1,1,0,0,0
monitor,1,1,0,0,0
mountain,0,0,0,0,0
mousepad,1,1,1,0,0
mug,1,1,0,0,1
napkin,1,1,0,0,0
newspaper,1,1,0,0,0
notebook,1,1,1,0,0
numeral,0,0,0,0,0
ottoman,1,1,1,0,0
pack,1,1,0,1,0
painting,1,1,0,0,0
pallet,1,1,1,0,0
palm,1,0,0,0,0
pane,1,0,0,0,0
paper towel,1,1,0,0,0
parking meter,1,0,0,0,0
partition,1,0,0,0,0
path,0,0,1,0,0
patty,1,1,0,0,0
pedestal,1,0,1,0,0
pen,1,1,0,0,0
person,1,0,0,0,0
piano,1,1,0,0,0
pier,0,0,1,0,0
pillow,1,1,0,0,0
pipe,1,0,0,0,0
tube,1,0,0,0,0
pitcher,1,1,0,0,1
place mat,1,1,1,0,0
plant,1,0,0,0,0
platform,1,0,1,0,0
plaything,1,1,0,0,0
pool ball,1,1,0,0,0
pool table,1,1,1,0,0
postbox,1,0,1,0,0
poster,1,0,0,0,0
pot,1,1,0,1,0
pottery,1,1,0,1,0
price tag,1,0,0,0,0
printer,1,1,0,0,0
projector,1,0,0,0,0
rack,1,0,0,0,0
radiator,1,0,0,0,0
railing,0,0,0,0,0
refrigerator,1,1,0,0,0
remote control,1,1,0,0,0
rifle,1,1,0,0,0
river,1,0,0,0,0
road,1,0,1,0,0
rock,1,1,0,0,0
rug,1,0,1,0,0
runway,0,0,0,0,0
sandal,1,1,0,0,0
saucepan,1,1,0,0,0
scaffolding,1,0,0,0,0
scale,1,1,1,0,0
screen door,1,0,0,0,0
screen,1,0,0,0,0
sea,0,0,0,0,0
ship,1,0,0,0,0
shirt,0,0,0,0,0
shoe,1,1,0,0,0
shower stall,1,0,0,0,0
shrub,1,0,0,0,0
sidewalk,1,0,1,0,0
signboard,1,0,0,0,0
sink,1,0,0,1,0
skull,1,1,0,0,0
sky,0,0,0,0,0
skylight,1,0,0,0,0
skyscraper,0,0,0,0,0
slot machine,1,0,0,0,0
snow,1,0,1,0,0
soap,1,1,0,0,0
soap dish,1,1,0,0,0
soap dispenser,1,1,0,0,0
sofa,1,1,1,0,0
spectacles,1,1,0,0,0
spoon,1,1,0,0,0
spotlight,0,0,0,0,0
sprinkler,1,0,0,0,0
stage,1,0,1,0,0
stairs,1,0,1,0,0
stairway,1,0,0,0,0
stall,1,0,0,1,0
step,1,0,0,0,0
stick,1,1,0,0,0
stool,1,1,1,0,0
stove,1,1,0,1,0
streetcar,1,0,0,0,0
streetlight,1,0,0,0,0
sweater,0,0,0,0,0
swimming pool,1,0,0,1,0
switch,1,0,0,0,0
swivel chair,1,1,1,0,0
system,0,0,0,0,0
table,1,1,1,0,0
tank,1,0,0,1,0
tapestry,1,0,0,0,0
teacup,1,1,0,0,1
teapot,1,1,0,0,1
telephone booth,1,0,0,1,0
telephone,1,1,0,0,0
television receiver,1,1,0,0,0
tent,1,0,0,1,0
text,0,0,0,0,0
toaster,1,1,0,0,0
toilet tissue,1,1,0,0,0
toilet,1,0,0,0,0
towel,1,1,0,0,0
